Date,Description,Amount,Category
18-01-2024,"UPI/P2M/401850648106/R GAYATHRI
/Paymen/Paytm Payments Bank",60.0,Others
18-01-2024,"UPI/P2M/401881025212/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
18-01-2024,"UPI/P2A/401851005145/AVANTIKA KESHAV
DUSA /Paymen/ICICI Bank",115.0,Others
18-01-2024,"UPI/P2A/438464224315/RUSHABH MEHTA
/UPI/HDFC BANK LTD",100.0,Others
18-01-2024,"UPI/P2M/401815934039/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
18-01-2024,"UPI/P2M/401852645356/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",10.0,Others
18-01-2024,"UPI/P2M/401829101441/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
19-01-2024,"UPI/P2M/438535076700/AIRTEL PAYMENTS
/Airtel/Axis Bank Ltd.",99.0,Others
19-01-2024,"UPI/P2M/401921453088/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
19-01-2024,"UPI/P2A/401977629647/Saransh  Singh
/Paymen/State Bank Of India",1877.0,Others
19-01-2024,"UPI/P2A/401908153066/Saransh  Singh
/Paymen/State Bank Of India",50.0,Others
19-01-2024,"UPI/P2M/401991703733/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",60.0,Others
19-01-2024,"UPI/P2M/401946842294/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
19-01-2024,"UPI/P2M/401914907429/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",115.0,Healthcare
20-01-2024,"UPI/P2M/402010497231/Blue Dart Express
Ltd/Paymen/ICICI Bank",747.0,Others
20-01-2024,"UPI/P2M/402037737637/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",40.0,Others
20-01-2024,"UPI/P2M/402005337019/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",80.0,Others
20-01-2024,"ECOM PUR/PAY*Vellore
I/Vallore/200124/13:28/402013501031",6060.18,Others
20-01-2024,"UPI/P2M/402090055487/Codeyeti Software
Sol/astrot/ICICI Bank",118.0,Others
20-01-2024,"UPI/P2M/402020820603/Codeyeti Software
Sol/astrot/ICICI Bank",118.0,Others
20-01-2024,"UPI/P2A/402089866611/R GAYATHRI
/Paymen/Indian Overseas Bank",20.0,Others
21-01-2024,SMS Alerts Chrgs Incl GST,1.18,Others
21-01-2024,"UPI/P2M/402188303414/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",120.0,Others
21-01-2024,"UPI/P2M/402120330317/Airtel Payments Bank
/UPITra/INDUSIND BANK",29.0,Others
21-01-2024,"UPI/P2M/402136543374/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
21-01-2024,"UPI/P2M/402128019586/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",60.0,Others
21-01-2024,"UPI/P2M/402111125837/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
21-01-2024,"UPI/P2A/402177062193/Saransh  Singh
/Paymen/State Bank Of India",257.0,Others
21-01-2024,"UPI/P2A/438785754795/NAYANA  RAMESH
/UPI/State Bank Of India",45.0,Others
22-01-2024,"UPI/P2M/402272410403/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
22-01-2024,"UPI/P2A/402221465226/AVANTIKA KESHAV
DUSA /Paymen/ICICI Bank",350.0,Others
22-01-2024,"UPI/P2M/402240996453/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
22-01-2024,"UPI/P2A/402224592162/Saransh  Singh
/Paymen/State Bank Of India",100.0,Others
22-01-2024,"UPI/P2M/402230184558/Airtel Payments Bank
/UPITra/INDUSIND BANK",29.0,Others
22-01-2024,"UPI/P2M/402254414110/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",60.0,Others
22-01-2024,"UPI/P2M/402247632345/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",37.0,Healthcare
22-01-2024,"UPI/P2M/402247373559/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",79.0,Healthcare
23-01-2024,"UPI/P2M/402325020496/Google India Digital
/Paymen/Axis Bank Ltd.",89.0,Others
23-01-2024,"UPI/P2M/402376012426/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
23-01-2024,"UPI/P2M/402326263998/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",236.0,Others
23-01-2024,"UPI/P2M/402365888534/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
23-01-2024,"UPI/P2M/402323421689/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
23-01-2024,"UPI/P2M/402385702714/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",118.0,Others
23-01-2024,"UPI/P2M/402385747759/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
23-01-2024,"UPI/P2M/402322382147/SREE BALAJI
STORES   /Paymen/Paytm Payments Bank",369.0,Others
23-01-2024,"UPI/P2M/402379645244/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
23-01-2024,"UPI/P2A/402380933828/DEVANSHI ARYA
/Paymen/HDFC BANK LTD",721.0,Others
23-01-2024,"UPI/P2A/402317114806/R GAYATHRI
/Paymen/Indian Overseas Bank",20.0,Others
24-01-2024,"UPI/P2M/402487676978/SARAVANA
MEDICAL     /Paymen/Paytm Payments Bank",115.0,Healthcare
24-01-2024,"UPI/P2M/402487804641/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",236.0,Others
24-01-2024,"ECOM PUR/PHONEPE
PRIVA/01246789345/240124/14:54/40241423771
2",301.82,Others
24-01-2024,"UPI/P2M/402415408163/NETFLIX C/HDFC
BANK/Monthly/TEZ",149.0,Others
24-01-2024,"UPI/P2M/402445401917/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
24-01-2024,"UPI/P2M/402570513241/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",236.0,Others
24-01-2024,"UPI/P2M/402520506532/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
24-01-2024,"UPI/P2M/402598961757/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",118.0,Others
25-01-2024,"UPI/P2M/402571669144/bookmyshow
/Bigtre/Paytm Payments Bank",269.24,Entertainment
25-01-2024,"UPI/P2M/402594794067/Selvam Cinemas
/Paymen/Paytm Payments Bank",1190.0,Others
25-01-2024,"UPI/P2M/402587527042/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",50.0,Others
26-01-2024,"UPI/P2M/402631675191/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
26-01-2024,"UPI/P2M/402671988773/R GAYATHRI
/Paymen/Paytm Payments Bank",40.0,Others
26-01-2024,"UPI/P2M/439292674739/BARBEQUE NATION
/Paymen/Yes Bank Ltd",2862.08,Others
26-01-2024,"UPI/P2A/402666865297/R  PRAKASH
/Paymen/Indian Overseas Bank",180.0,Others
26-01-2024,"UPI/P2M/402685127582/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",186.0,Healthcare
27-01-2024,"UPI/P2M/402709395276/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",118.0,Others
27-01-2024,"UPI/P2M/402733126042/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
27-01-2024,"UPI/P2M/402745235619/ALL MART
/Paymen/Paytm Payments Bank",90.0,Others
27-01-2024,"UPI/P2M/402792004330/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",10.0,Others
27-01-2024,"UPI/P2M/402736040934/R GAYATHRI
/Paymen/Paytm Payments Bank",80.0,Others
27-01-2024,"UPI/P2M/402752321335/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",108.0,Healthcare
28-01-2024,"UPI/P2M/402856980416/7th HEAVEN
/Paymen/Paytm Payments Bank",160.0,Others
28-01-2024,"UPI/P2M/402888122261/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",25.0,Others
29-01-2024,"UPI/P2M/402939283729/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
29-01-2024,"UPI/P2M/402929223936/ARASAN CATERERS
AND C/Paymen/Paytm Payments Bank",106.0,Others
29-01-2024,"UPI/P2M/402972567236/ALL MART
/Paymen/Paytm Payments Bank",81.0,Others
29-01-2024,"UPI/P2M/402954069316/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",30.0,Others
29-01-2024,"UPI/P2M/402942946150/R GAYATHRI
/Paymen/Paytm Payments Bank",20.0,Others
30-01-2024,"UPI/P2M/403055159845/Amazon India         /You
ar/Yes Bank Ltd",977.0,Shopping
30-01-2024,"UPI/P2M/403024079497/AMAZON SELLER
SERVICE/Paymen/HDFC BANK LTD",738.0,Shopping
30-01-2024,"UPI/P2M/403065707462/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
30-01-2024,"UPI/P2M/403031928860/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",110.0,Others
31-01-2024,"UPI/P2M/403197065974/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
31-01-2024,"UPI/P2M/403155325741/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",170.0,Others
31-01-2024,"UPI/P2M/403153592494/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",30.0,Others
31-01-2024,"NBSM/47291372/MONEYLICIOUS
SECURITIES PVT LTD(RAZ",100000.0,Others
31-01-2024,"UPI/P2M/439710146276/Myntra Designs Pvt
Lt/Paymen/Axis Bank Ltd.",1386.0,Shopping
31-01-2024,"UPI/P2M/403182545836/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
31-01-2024,"UPI/P2M/403190361829/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",80.0,Others
31-01-2024,"UPI/P2M/403193302256/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",72.0,Others
01-02-2024,"UPI/P2M/403239209424/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
01-02-2024,"UPI/P2M/439834767625/Myntra Designs Pvt
Lt/Paymen/Axis Bank Ltd.",687.0,Shopping
01-02-2024,"UPI/P2M/403241471268/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",20.0,Others
01-02-2024,"UPI/P2M/403227195316/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",40.0,Others
01-02-2024,"UPI/P2M/403203643803/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
01-02-2024,"UPI/P2M/403274024461/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",108.0,Healthcare
02-02-2024,"UPI/P2M/403320095742/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
02-02-2024,"UPI/P2M/403320669327/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
02-02-2024,"UPI/P2M/403392703055/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
02-02-2024,"UPI/P2M/403314594713/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
02-02-2024,"UPI/P2M/403362753571/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
02-02-2024,"UPI/P2M/403363152347/PHPGURUKUL LLP
/Paymen/ICICI Bank",110.0,Others
02-02-2024,"UPI/P2M/403331043779/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
03-02-2024,"UPI/P2M/403416584547/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
03-02-2024,"UPI/P2M/403439972428/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",100.0,Others
03-02-2024,"UPI/P2M/403493823719/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",60.0,Others
03-02-2024,"UPI/P2M/403469263682/ULZAVAR
URPATHIAARLAR/Paymen/Paytm Payments
Bank",50.0,Others
03-02-2024,"UPI/P2M/403416759058/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",70.0,Others
03-02-2024,"UPI/P2M/403477244975/R GAYATHRI
/Paymen/Paytm Payments Bank",35.0,Others
04-02-2024,"UPI/P2M/403564763489/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
04-02-2024,"UPI/P2A/403531215842/SAURABH VIJAY
MUNJAL /Paymen/State Bank Of India",140.0,Others
04-02-2024,"UPI/P2M/403531016500/Vee Cee Medicals
/Paymen/Paytm Payments Bank",168.0,Healthcare
04-02-2024,"UPI/P2M/403534205103/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",48.0,Others
04-02-2024,"UPI/P2M/403572303394/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",60.0,Others
05-02-2024,"UPI/P2M/403681654815/S Diwakar
/Paymen/Paytm Payments Bank",240.0,Others
05-02-2024,"UPI/P2M/403624699117/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
05-02-2024,"UPI/P2M/403651742207/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",190.0,Others
05-02-2024,"UPI/P2M/403635323537/Pragati Fashions Pvt
/Paymen/ICICI Bank",1980.75,Others
06-02-2024,"UPI/P2M/403722218875/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
06-02-2024,"UPI/P2M/403718817378/SREE BALAJI
STORES   /Paymen/Paytm Payments Bank",387.0,Others
06-02-2024,"UPI/P2A/403725181528/Mr THANIGAIVEL P
/Paymen/Indian Bank",381.0,Others
06-02-2024,"UPI/P2M/403756954462/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
06-02-2024,"UPI/P2M/403783203923/SARAVANA
MEDICAL     /Paymen/Paytm Payments Bank",140.0,Healthcare
06-02-2024,"UPI/P2M/403758984612/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",50.0,Others
06-02-2024,"UPI/P2M/403708132134/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",5.0,Others
06-02-2024,"UPI/P2M/403785086234/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",45.0,Healthcare
07-02-2024,"UPI/P2M/403885633933/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
07-02-2024,"UPI/P2M/403872047975/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",100.0,Others
07-02-2024,"UPI/P2M/403861664647/ARASAN CATERERS
AND C/Paymen/Paytm Payments Bank",40.0,Others
07-02-2024,"UPI/P2M/403832816672/JM GENERAL STORE
/Paymen/Paytm Payments Bank",20.0,Others
07-02-2024,"UPI/P2M/403849607461/R GAYATHRI
/Paymen/Paytm Payments Bank",40.0,Others
07-02-2024,"UPI/P2M/403843099118/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
07-02-2024,"UPI/P2M/403871053046/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
08-02-2024,"UPI/P2M/403962527087/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
08-02-2024,"UPI/P2M/403920636324/Delhivery Limited
/Paymen/Paytm Payments Bank",1440.0,Others
08-02-2024,"UPI/P2M/403903073187/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",130.0,Others
08-02-2024,"UPI/P2M/403945060586/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",25.0,Others
08-02-2024,"UPI/P2M/403916006432/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
09-02-2024,"UPI/P2M/404068178069/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
09-02-2024,"UPI/P2M/404056480282/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",30.0,Others
09-02-2024,"UPI/P2M/404029091670/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
09-02-2024,"UPI/P2M/404056008371/ULZAVAR
URPATHIAARLAR/Paymen/Paytm Payments
Bank",20.0,Others
09-02-2024,"UPI/P2M/404082193843/MC DONALDS
/Paymen/HDFC BANK LTD",572.01,Others
09-02-2024,"UPI/P2M/404081075117/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
09-02-2024,"ECOM
PUR/SOCIALCATFISH/MURRIETA/090224/18:
07/404018882047",594.02,Others
09-02-2024,"ECOM
PUR/SOCIALCATFISH/MURRIETA/090224/18:
08/404018700286",560.29,Others
10-02-2024,"UPI/P2M/404178157353/R GAYATHRI
/Paymen/Paytm Payments Bank",40.0,Others
10-02-2024,"UPI/P2M/404170117540/AIRTEL PAYMENTS
BANK /UPIInt/Airtel Payments Bank",49.0,Others
10-02-2024,"UPI/P2A/404122300715/NANDINI  SAMPATH
KUMA/Paymen/State Bank Of India",55.0,Others
10-02-2024,"UPI/P2M/404170202698/R GAYATHRI
/Paymen/Paytm Payments Bank",20.0,Others
10-02-2024,"UPI/P2M/404197622756/R GAYATHRI
/Paymen/Paytm Payments Bank",30.0,Others
10-02-2024,"UPI/P2M/404154075571/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
11-02-2024,"UPI/P2M/404263145623/R GAYATHRI
/Paymen/Paytm Payments Bank",30.0,Others
12-02-2024,"UPI/P2M/404330798432/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
12-02-2024,"UPI/P2M/404385876378/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",80.0,Others
12-02-2024,"UPI/P2M/404306712104/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",60.0,Others
13-02-2024,"UPI/P2M/404409457731/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
13-02-2024,"UPI/P2M/404451084107/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
13-02-2024,"UPI/P2M/404412218292/SRI SAI SABARI
CATER /Paymen/Paytm Payments Bank",10.0,Others
13-02-2024,"UPI/P2M/404402108536/Felix logistics
/Paymen/Paytm Payments Bank",15.0,Others
13-02-2024,"UPI/P2A/404400879234/S SANKAR
/Paymen/Union Bank of India",177.0,Others
13-02-2024,"UPI/P2M/404431670938/R GAYATHRI
/Paymen/Paytm Payments Bank",15.0,Others
13-02-2024,"UPI/P2M/404414385285/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
14-02-2024,"UPI/P2M/404520877619/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
14-02-2024,"UPI/P2M/404594157146/ARASAN CATERERS
AND C/Paymen/Paytm Payments Bank",40.0,Others
14-02-2024,"UPI/P2M/404593144713/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",30.0,Others
14-02-2024,"UPI/P2M/404570582334/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
14-02-2024,"UPI/P2M/404594151302/R GAYATHRI
/Paymen/Paytm Payments Bank",10.0,Others
14-02-2024,"UPI/P2M/404530936572/Google India Digital
/Paymen/Axis Bank Ltd.",9.99,Others
15-02-2024,"UPI/P2M/404685638435/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
15-02-2024,"UPI/P2M/404667420474/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",60.0,Others
15-02-2024,"UPI/P2M/404659620083/R GAYATHRI
/Paymen/Paytm Payments Bank",20.0,Others
15-02-2024,"UPI/P2A/404648578284/AVANTIKA KESHAV
DUSA /Paymen/ICICI Bank",155.0,Others
15-02-2024,"UPI/P2M/404629435070/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",118.0,Others
15-02-2024,"UPI/P2M/404631359259/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
15-02-2024,"UPI/P2M/404698954008/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
15-02-2024,"UPI/P2M/404696071074/Codeyeti Software
Sol/astrot/Axis Bank Ltd.",59.0,Others
15-02-2024,"UPI/P2M/404606777055/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
16-02-2024,"UPI/P2M/404708621322/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
16-02-2024,"UPI/P2M/404729727291/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
16-02-2024,"UPI/P2M/404715254682/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
16-02-2024,"UPI/P2M/404798364004/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
16-02-2024,"UPI/P2M/404706089729/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",10.0,Others
16-02-2024,"UPI/P2M/404732150896/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",37.0,Healthcare
17-02-2024,"UPI/P2M/404800656971/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
17-02-2024,"UPI/P2M/404892811523/MD NOOR AHMED
/Paymen/Paytm Payments Bank",200.0,Others
17-02-2024,"UPI/P2M/404850480177/M Pramila
/Paymen/Paytm Payments Bank",20.0,Others
17-02-2024,"UPI/P2M/404843853287/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
18-02-2024,"UPI/P2A/404917318506/PALAK MOHIT
SHARMA   /Paymen/HDFC BANK LTD",330.0,Others
18-02-2024,"UPI/P2A/404940194798/AVANTIKA KESHAV
DUSA /Paymen/ICICI Bank",110.0,Others
18-02-2024,"UPI/P2M/404905193640/FRESH MARKET
VELLORE /Paymen/ICICI Bank",70.0,Others
18-02-2024,"UPI/P2A/404922525472/M  SRINIVASAN
/UPI/State Bank Of India",200.0,Others
18-02-2024,"UPI/P2A/404960132751/A V  KIRAN KUMAR
/UPI/State Bank Of India",2000.0,Others
18-02-2024,"UPI/P2M/404922889006/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",205.0,Healthcare
19-02-2024,"UPI/P2M/405012668386/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
19-02-2024,"UPI/P2M/405004165177/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",30.0,Others
19-02-2024,"UPI/P2M/405083384682/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",20.0,Others
19-02-2024,"UPI/P2M/405015543158/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",35.0,Others
20-02-2024,"UPI/P2M/405174012648/SREE BALAJI
STORES   /Paymen/HDFC BANK LTD",285.0,Others
20-02-2024,"UPI/P2M/405158280631/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",20.0,Others
20-02-2024,"UPI/P2M/405151346987/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
21-02-2024,"UPI/P2M/405264056145/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
21-02-2024,"UPI/P2A/441826036132/Mr. Kalaivanan
Ravich/Paymen/Indian Bank",196.0,Others
21-02-2024,"UPI/P2M/405218572382/NTA NEET 2024
/NTA NE/Airtel Payments Bank",1700.0,Others
21-02-2024,"UPI/P2M/405253007862/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",98.0,Healthcare
22-02-2024,"UPI/P2A/405313293072/SAURABH VIJAY
MUNJAL /Paymen/State Bank Of India",190.0,Others
22-02-2024,"UPI/P2M/405384566123/PUNNIYAMUTHY M
/Paymen/City Union Bank",80.0,Others
22-02-2024,"UPI/P2M/405303559697/Felix logistics
/Paymen/Paytm Payments Bank",15.0,Others
22-02-2024,"UPI/P2M/405338168259/R GAYATHRI
/Paymen/Paytm Payments Bank",30.0,Others
22-02-2024,"UPI/P2M/405304835297/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",50.0,Others
22-02-2024,"UPI/P2M/405316392689/Vellore Institute of
/UPIInt/INDUSIND BANK",419.0,Others
22-02-2024,"UPI/P2A/441983948199/Aryan  Raj
/Paymen/State Bank Of India",50.0,Others
22-02-2024,"UPI/P2M/405351296625/BIGTREE
ENTERTAINMENT/BIGTRE/Axis Bank Ltd.",574.92,Entertainment
23-02-2024,"UPI/P2M/405447208221/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
23-02-2024,"UPI/P2M/405463073252/R GAYATHRI
/Paymen/Paytm Payments Bank",30.0,Others
23-02-2024,"UPI/P2M/405471138167/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",10.0,Others
23-02-2024,"UPI/P2M/405498117593/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
23-02-2024,"UPI/P2M/405485032799/SARAVANAKUMAR
SO CHAK/Paymen/Paytm Payments Bank",45.0,Others
23-02-2024,"UPI/P2M/405405632620/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",10.0,Others
23-02-2024,"UPI/P2M/405437227887/R GAYATHRI
/Paymen/Paytm Payments Bank",130.0,Others
24-02-2024,"UPI/P2M/405500892619/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
24-02-2024,"UPI/P2M/405538349977/R GAYATHRI
/Paymen/Paytm Payments Bank",20.0,Others
24-02-2024,"UPI/P2M/405519521477/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
24-02-2024,"UPI/P2M/405596080780/MC DONALDS
/Paymen/HDFC BANK LTD",678.0,Others
24-02-2024,"UPI/P2M/405508391751/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
24-02-2024,"UPI/P2M/405594557033/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",15.0,Others
24-02-2024,"UPI/P2M/405588297475/airtel
/UPIInt/Axis Bank Ltd.",49.0,Others
24-02-2024,"UPI/P2M/405528963860/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
24-02-2024,"UPI/P2M/405523487821/NETFLIX C/HDFC
BANK/Monthly/TEZ",149.0,Others
25-02-2024,"UPI/P2M/405655568029/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
25-02-2024,"UPI/P2M/442207012825/Flipkart Internet
Pri/Paymen/Axis Bank Ltd.",439.0,Others
25-02-2024,"UPI/P2M/405672694443/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",55.0,Others
26-02-2024,"UPI/P2M/405782613956/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
26-02-2024,"UPI/P2M/405763705958/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
26-02-2024,"UPI/P2M/405713154431/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",80.0,Others
26-02-2024,"UPI/P2M/405715846050/R GAYATHRI
/Paymen/Paytm Payments Bank",30.0,Others
26-02-2024,"UPI/P2M/405766904726/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",30.0,Others
27-02-2024,"UPI/P2M/405854490118/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",20.0,Others
27-02-2024,"UPI/P2M/405826649974/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",70.0,Others
27-02-2024,"UPI/P2M/405826178192/Ms NISHA P
/Paymen/Paytm Payments Bank",100.0,Others
27-02-2024,"UPI/P2M/405801658430/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
28-02-2024,"UPI/P2M/405967369340/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
28-02-2024,"UPI/P2M/405984453309/ARASAN CATERERS
AND C/Paymen/Paytm Payments Bank",40.0,Others
28-02-2024,"UPI/P2M/405932914151/Nykaa ERetail
Private/Upi Tr/HDFC BANK LTD",1969.0,Others
28-02-2024,"UPI/P2M/405976017604/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",40.0,Others
28-02-2024,"UPI/P2M/405979349231/BASHAS FOOD CORP
/Paymen/Paytm Payments Bank",280.0,Food & Dining
